term,definition,context,id,last_review,next_review,interval,repetitions,ease_factor,status
tangle,纠缠 / 混乱,The fishing line got into a terrible tangle.,0e7cc76b-aa5f-451e-99a9-7a72b61fa5c8,,2026-01-04,0,0,2.5,new
bathe,沐浴 / 浸,The room was bathed in soft golden light.,a09e2482-e0c2-4fab-91f0-18564257fb5e,,2026-01-04,0,0,2.5,new
proceed,继续进行 / 前进,After the interruption,2cc3d1b2-38fe-4c9c-9ecf-e03a228b4b10,,2026-01-04,0,0,2.5,new
sinful,有罪的 / 邪恶的,He felt that wasting food was a sinful act.,a62ed7e8-a518-492a-9411-6ecc291da352,,2026-01-04,0,0,2.5,new
ascetic,禁欲的 / 苦行者,He lived an ascetic life in a remote monastery.,9748ed46-7a95-4951-8746-60e6041a5287,,2026-01-04,0,0,2.5,new
asceticism,禁欲主义,The monk’s life was defined by extreme asceticism.,a3368303-a803-4ee7-bd96-5a54b7e8d08b,,2026-01-04,0,0,2.5,new
pulpit,讲坛 / 僧侣,The priest stood in the pulpit to deliver his sermon.,80d9b633-df9b-422d-a85d-18904a79e8ba,,2026-01-04,0,0,2.5,new
antithesis,对立面 / 对照,His behavior was the exact antithesis of what we expected.,0e4f6edc-6585-4df8-adf5-ffd3277b20ba,,2026-01-04,0,0,2.5,new
allusion,典故 / 暗指,The poem is full of allusions to Greek mythology.,975f18db-a96e-499a-bcbe-d68cf1cf7829,,2026-01-04,0,0,2.5,new
allude to,暗指 / 提到,He alluded to the problem but didn't explain it in detail.,4eb68bc7-eb2a-4967-9f6e-1df77f62aff4,,2026-01-04,0,0,2.5,new
twig,小树枝,A small bird sat on a dry twig of the apple tree.,a7d2f448-49da-4708-9bf9-6123b327da47,,2026-01-04,0,0,2.5,new
snap,断裂 / 猛咬,The dry branch snapped under his weight.,a3d31a62-0c00-4234-b24d-7cab30541fdc,,2026-01-04,0,0,2.5,new
depreciate,贬低 / 轻视 / 贬值,New cars depreciate in value as soon as you drive them away.,68e8565d-6593-4186-8c5e-763b92b7c05d,,2026-01-04,0,0,2.5,new
undergrowth,灌木丛 / 丛林,The dog disappeared into the thick undergrowth.,033e77d0-2ac6-4777-9b8f-99032b84893c,,2026-01-04,0,0,2.5,new
tread,踏踩 / 行走,Be careful not to tread on the flowers.,659fbe64-29de-4760-b541-ad9c7dc7c564,,2026-01-04,0,0,2.5,new
take fright,受惊 / 惊恐,The horse took fright at the sound of the explosion.,1c089cc1-246f-45dd-a505-e5bd50049a29,,2026-01-04,0,0,2.5,new
squawk,尖叫 / 诉苦,The parrot gave a loud squawk when I approached.,217488d7-9079-4a1b-a62e-2ebce2ce186e,,2026-01-04,0,0,2.5,new
amiss,出错的 / 有毛病的,I knew something was amiss when she didn't call back.,7a31296b-591b-4254-834c-bd7f03f151c7,,2026-01-04,0,0,2.5,new
buy … out,买下……的全部股份 / 收购,The larger company offered to buy out the small family business.,bd58b1a3-26c9-4f1e-81f4-9d94b092ebf1,,2026-01-04,0,0,2.5,new
beset,困扰 / 围绕,The project was beset by technical difficulties from the start.,66c8af66-91c6-49c1-b0a6-710066a4b8d0,,2026-01-04,0,0,2.5,new
round off,使……完整 / 凑整,We can round off the evening with a nice dessert.,d020baf0-0ff7-4c9e-b4e1-8cba06b3a0d4,,2026-01-04,0,0,2.5,new
plot a curve,画曲线,The scientist plotted a curve to show the rate of growth.,3ce3b6c2-147b-4b94-b204-5a22f2406a42,,2026-01-04,0,0,2.5,new
immense,巨大的 / 广大的,The cost of the restoration project was immense.,d141753f-383c-4ac2-8afb-6908fda8e760,,2026-01-04,0,0,2.5,new
immensity,巨大 / 广大,She was overwhelmed by the immensity of the ocean.,5791e390-43d6-4369-aace-0a3ff6ddbb2c,,2026-01-04,0,0,2.5,new
nucleus,核心 / 原子核,The nucleus of the cell contains most of the genetic material.,93df49d5-b5dd-4703-8074-d2f7154daca7,,2026-01-04,0,0,2.5,new
nuclei,核心（复数）,Atomic nuclei are made of protons and neutrons.,fd5331ef-8a10-41c5-99df-1d95171feba3,,2026-01-04,0,0,2.5,new
dominion,统治权 / 领土,In the past,55e6ae5e-dfdd-4b98-b821-57031d6d9db2,,2026-01-04,0,0,2.5,new
take alarm,感到警觉 / 惊慌,Residents took alarm when they saw smoke coming from the forest.,e89cc0e2-095d-412e-ac55-02220b1342c7,,2026-01-04,0,0,2.5,new
clean,完全地 / 彻底地,The bullet went clean through the wooden door.,5500c33c-0ecf-4763-911a-7c6671e01bbc,,2026-01-04,0,0,2.5,new
restless,焦躁不安的 / 静不下来的,The audience grew restless during the long speech.,3ea190e3-a311-4413-93f9-874565d818c6,,2026-01-04,0,0,2.5,new
come over,袭来 / 笼罩 / 过来,A feeling of sadness came over him as he read the letter.,494d7767-d3c8-4aeb-b7bc-861947e203a6,,2026-01-04,0,0,2.5,new
pretentious,做作的 / 自命不凡的,I found his style of writing very pretentious and hard to follow.,43eb5df4-b89b-44e3-8447-8c1da7b54718,,2026-01-04,0,0,2.5,new
sinister,不祥的 / 阴险的,There was something sinister about the dark,46df3379-9e66-4c1f-b381-6de26730243b,,2026-01-04,0,0,2.5,new
trinity,三位一体 / 三人一组,The novel explores the trinity of love,72d717fd-cd72-400f-9886-759421af1910,,2026-01-04,0,0,2.5,new
shun,躲开 / 避开,He began to shun public attention after the scandal.,3e445b0f-b21c-4600-bfad-1e76dd87156e,,2026-01-04,0,0,2.5,new
defect,缺陷 / 变节,The toy was recalled due to a serious manufacturing defect.,ed78614a-019c-4a57-a9f0-143838f06fcf,,2026-01-04,0,0,2.5,new
defective,有缺陷的,You can return the product if it is found to be defective.,d2dc1e47-4d33-4e3e-9174-a138ba1e0953,,2026-01-04,0,0,2.5,new
germ,胚芽 / 细菌 / 萌芽,The germ of the idea came to him while he was on vacation.,4483108c-f538-4e9c-b37e-5d957198e9e7,,2026-01-04,0,0,2.5,new
exquisite,精致的 / 细腻的,The museum has an exquisite collection of ancient jewelry.,da640128-1aa2-45e5-a8bf-a481e64d87a1,,2026-01-04,0,0,2.5,new
carnal,肉体的 / 世俗的,The monk was taught to suppress all carnal desires.,52a69741-6895-4059-a178-7897085486f8,,2026-01-04,0,0,2.5,new
entangle,缠住 / 使陷入,The dolphin became entangled in the fishing net.,e83b756d-e3ed-47a4-b6bf-9a175fcf8292,,2026-01-04,0,0,2.5,new
meagre,贫乏的 / 瘦的,They survived on a meagre diet of bread and water.,8d7b7521-e8e9-4075-abe0-365e78c949ed,,2026-01-04,0,0,2.5,new
traverse,横过 / 穿过,The explorers had to traverse the entire desert on foot.,269fc645-e114-4e8c-aa7b-36088eee1eec,,2026-01-04,0,0,2.5,new
all too,非常 / 太……,The weekend was all too short and soon it was Monday.,6cabb44b-f52c-4cd3-96f8-e0328b4f3f31,,2026-01-04,0,0,2.5,new
grub,（用手）挖掘 / 搜寻,The children were grubbing about in the garden for worms.,9302521f-0784-49af-9c30-d0d91cc44181,,2026-01-04,0,0,2.5,new
span,跨度 / 跨越,The bridge spans the river at its narrowest point.,177a25e4-4e5e-4179-a2bf-b43ac5884a96,,2026-01-04,0,0,2.5,new
termite,白蚁,The old wooden house was severely damaged by termites.,4567aeb5-5f84-401c-a061-207a0efe3288,,2026-01-04,0,0,2.5,new
circle,圆圈 / 环绕,The eagles circled high above the valley.,b8e58d83-a4c8-4838-9669-ea62282dc21e,,2026-01-04,0,0,2.5,new
circular,循环的 / 圆形的,The letter was sent to all members as a circular.,7fc8f056-2d56-426e-8556-31fc50724f52,,2026-01-04,0,0,2.5,new
circulate,循环 / 流传,Blood circulates through the body to deliver oxygen.,30c566ce-b526-435b-932d-c19cd80e9999,,2026-01-04,0,0,2.5,new
circulation,循环 / 流通 / 发行量,The magazine has a daily circulation of over 50,2790a4f8-7cad-430e-90d6-3a97dbb25788,,2026-01-04,0,0,2.5,new
gorge (on),吞食 / 狼吞虎咽,The children gorged themselves on chocolate and cake.,45c7e1ef-28de-4ece-baca-a5ca86eb38c9,,2026-01-04,0,0,2.5,new
avaricious,贪婪的,The avaricious businessman was never satisfied with his profits.,d72d8481-17e0-4008-a38c-8bb56dea0539,,2026-01-04,0,0,2.5,new
avarice,贪婪,His motive for the crime was pure avarice.,0b4db482-442c-47d6-85d3-14ebb51641f9,,2026-01-04,0,0,2.5,new
quadruple,使成四倍 / 四倍的,The price of the house has quadrupled in the last ten years.,f29acba2-2834-4c81-9d65-19451f14848f,,2026-01-04,0,0,2.5,new
gait,步态 / 步法,The old man walked with a slow and heavy gait.,370b7d9a-c53c-423a-badd-e1684e121ea4,,2026-01-04,0,0,2.5,new
wont,习惯 / 惯常的,As was her wont,79de7db5-36dc-4a51-92b4-129a05be9be9,,2026-01-04,0,0,2.5,new
sponge,海绵 / 抹除,He used a wet sponge to clean the chalkboard.,f90125d8-d8f0-4637-a391-060dacffd25f,,2026-01-04,0,0,2.5,new
spongy,海绵状的,The ground was soft and spongy after the heavy rain.,a16f85af-3c65-43cb-b577-96b08a772fbd,,2026-01-04,0,0,2.5,new
bog,泥潭 / 使陷入,The car got bogged down in the thick mud.,a77d2fa6-8d8f-4958-82d1-1dcfbc3feeaa,,2026-01-04,0,0,2.5,new
stiffen,变硬 / 僵硬,His muscles began to stiffen after the long hike.,1a0307a7-beee-4acc-a727-77af9b7972b2,,2026-01-04,0,0,2.5,new
pastry,糕点 / 点心,The bakery sells a delicious range of French pastries.,17afc351-e627-4326-bf27-554c29874d1e,,2026-01-04,0,0,2.5,new
limber,柔软的 / 敏捷的,She did some stretching exercises to keep her body limber.,363711ea-053c-4e59-8930-956e104b6560,,2026-01-04,0,0,2.5,new
indeterminate,不明确的 / 不确定的,The date of the meeting is still indeterminate.,6c56cd90-d004-4624-9ec2-43eedf6d69f8,,2026-01-04,0,0,2.5,new
in someone’s company,在某人陪同下,I always feel comfortable and relaxed in her company.,1869e849-1f31-47f2-9c51-475ba2557f43,,2026-01-04,0,0,2.5,new
quartet,四重奏 / 四人组,The string quartet performed a piece by Mozart.,b5968a29-3719-4094-af0f-4c6ba74db9c7,,2026-01-04,0,0,2.5,new
give place to,让位给 / 被替代,The old steam trains eventually gave place to electric ones.,acf648c9-7839-40cf-bc74-a5673a63b7f3,,2026-01-04,0,0,2.5,new
adorn,装饰,The walls were adorned with beautiful paintings.,dd6280bf-0a49-4909-8892-38c40e7a20af,,2026-01-04,0,0,2.5,new
adornment,装饰品,The simple dress needed no further adornment.,be8d2eb9-99a4-4db9-acf7-20f9a9834994,,2026-01-04,0,0,2.5,new
beseech,恳求 / 乞求,I beseech you to reconsider your decision.,85f31472-4fb5-4595-90a4-18e7d656f07b,,2026-01-04,0,0,2.5,new
swirl,旋转 / 漩涡,The autumn leaves swirled around in the wind.,152408df-e57e-495e-94f8-ace101a0329e,,2026-01-04,0,0,2.5,new
lethargic,无精打采的,The hot weather made everyone feel lethargic and tired.,5ab34ecb-4c76-4b62-b67b-68968ba32e7c,,2026-01-04,0,0,2.5,new
condescension,屈尊俯就 / 傲慢,I resented the tone of condescension in his voice.,0ef06ab2-9ac2-4900-b5ef-b8d46857c39a,,2026-01-04,0,0,2.5,new
to their best form,达到最佳状态,The athletes trained hard to return to their best form.,6c9ee86e-2c01-47ed-bd50-dd749edda3b6,,2026-01-04,0,0,2.5,new
bequest,遗嘱 / 遗产,He left a generous bequest to the local library.,46a036aa-99ca-4b14-b4a6-335ec6a80019,,2026-01-04,0,0,2.5,new
inning,局 / 机会,The team scored three runs in the final inning.,5e4c507a-bb7d-40fc-8367-aedd86478116,,2026-01-04,0,0,2.5,new
zest,热心 / 热情 / 兴趣,He entered into the new project with great zest.,57604e7c-0a5c-40c2-9319-e568796f5bb8,,2026-01-04,0,0,2.5,new
gambit,开局策略 / 试探,His opening gambit in the negotiation was very clever.,f066db8d-3dcf-4e47-a8df-5b86288ad70e,,2026-01-04,0,0,2.5,new
for that matter,确切地说 / 此外,I don't like horror movies,22b9e968-0895-44c3-99b7-07907010375f,,2026-01-04,0,0,2.5,new
benefactor,恩人 / 捐助者,The hospital was built thanks to a wealthy benefactor.,2fe73bb7-2e24-49f3-9023-ec022c23bacc,,2026-01-04,0,0,2.5,new
sliver,裂片 / 薄片,He cut a tiny sliver of cake just to taste it.,edc8f6fa-5b83-41bd-af5d-345227dc4d50,,2026-01-04,0,0,2.5,new
heir,继承人,He is the legal heir to the family fortune.,80abf34d-cf12-462b-9e66-0769d852a0fc,,2026-01-04,0,0,2.5,new
heiress,女继承人,The young heiress inherited a large estate from her grandfather.,c3b1c2bb-108a-4525-8671-7e26e783bddd,,2026-01-04,0,0,2.5,new
promenade,散步 / 漫步,Couples were promenading along the seafront at sunset.,1fa4f06a-f149-421e-910f-7e7361eb3818,,2026-01-04,0,0,2.5,new
by rote,死记硬背地,He learned the entire poem by rote without understanding it.,903469ad-f07a-4f86-be53-4f93ddbc21fd,,2026-01-04,0,0,2.5,new
sleek,光滑的 / 井然有序的,The cat had a sleek and shiny coat of black fur.,f2c4c3d6-3283-4459-bd4b-96e78c6ceb7d,,2026-01-04,0,0,2.5,new
supple,柔韧的 / 灵活的,Yoga helps to keep your joints supple and strong.,89309f11-4ff5-4684-834f-02cdabb38845,,2026-01-04,0,0,2.5,new
nudge,轻推 / 推进,He gave me a gentle nudge to wake me up.,de7d907b-a720-44d4-bc62-6c81f1b21e5d,,2026-01-04,0,0,2.5,new
tender,呈递 / 提出 / 投标,The company decided to tender for the new bridge project.,1847f03c-2a5b-4d93-9351-c0e283caa5d7,,2026-01-04,0,0,2.5,new
regal,威严的 / 王室的,She looked very regal in her long silk gown.,88a75770-42fe-477f-bb59-abe93ae117b4,,2026-01-04,0,0,2.5,new
fling,投掷 / 抛出 / 猛冲,He flung his coat onto the sofa and sat down.,b9b713e2-0611-485f-ada7-db3e667a8359,,2026-01-04,0,0,2.5,new
chaste,贞洁的 / 朴素的,The room was decorated in a simple and chaste style.,168e69df-e83c-4df9-b10f-8a99749b8b0a,,2026-01-04,0,0,2.5,new
forfeit,丧失 / 被罚没,He had to forfeit his deposit because he cancelled late.,657a94cd-8ae7-404e-93bc-eee83cba5bc7,,2026-01-04,0,0,2.5,new
immaculate,纯洁无瑕的 / 一尘不染的,The house was kept in immaculate condition.,0c2e9957-bf73-4cef-94ac-5d2297d3a4c7,,2026-01-04,0,0,2.5,new
retort,顶嘴 / 反驳,"""It's none of your business",59a3b902-f776-4343-a71f-a7bd2ed5b7b5,,2026-01-04,0,0,2.5,new
inhabit,居住于 / 栖息于,Many rare species of birds inhabit these remote islands.,3efbd881-dac3-4183-9036-871ea058e0b9,,2026-01-04,0,0,2.5,new
detach,分离 / 拆卸 / 使超脱,He tried to detach himself from the reality of the situation.,0af60001-69c2-43c0-a5fc-033e40455bb2,,2026-01-04,0,0,2.5,new
perturb,使不安 / 扰乱,The sudden change in plans did not seem to perturb him at all.,c15440cf-7e2e-45ef-b581-f604cf18dffb,,2026-01-04,0,0,2.5,new
musty,发霉的 / 陈腐的,The old library was filled with the smell of musty books.,5fd6ced8-c354-44e0-bdd1-1bd09299ce9c,,2026-01-04,0,0,2.5,new
devout,虔诚的 / 衷心的,She was a devout follower of the faith and attended every service.,bb6fc59d-c213-4bce-b34d-aad547f41f3c,,2026-01-04,0,0,2.5,new
straggle,漫步 / 离群 / 蔓延,A few latecomers began to straggle into the hall after the lecture started.,12d1d585-95cc-49a4-9f97-a315d53377f8,,2026-01-04,0,0,2.5,new
rusty,生锈的 / （技能）生疏的,The gate made a loud creak on its rusty hinges.,3cb00a6a-52b2-4d2a-b549-9f2509b6c614,,2026-01-04,0,0,2.5,new
charitable,慈善的 / 宽厚的,He made a generous and charitable donation to the local orphanage.,0e9370ae-53eb-402e-bd01-f6d31c8ed9a3,,2026-01-04,0,0,2.5,new
sombre,阴沉的 / 忧郁的 / 昏暗活动,The funeral was a very sombre and quiet occasion.,744013c9-4a68-433e-9c2c-0eca8ceb01a1,,2026-01-04,0,0,2.5,new
feeble,虚弱的 / 无力的,The sick man gave a feeble wave from his bed.,3583dc88-8461-4c53-a2c0-3f8db89e3b86,,2026-01-04,0,0,2.5,new
career,飞奔 / 猛冲,The carriage began to career wildly down the narrow street.,c75a4016-8ff4-42ed-9855-0caa8db27a70,,2026-01-04,0,0,2.5,new
run the gauntlet,受到严厉批评 / 穿过危险区,The whistle-blower had to run the gauntlet of media questions.,5a2943ad-90f2-4df4-b08b-56bfa1d78363,,2026-01-04,0,0,2.5,new
odour,气味 / 名声,The strange odour in the room reminded him of old incense.,7e1667a1-4ccd-48a6-a278-de7213b9e5a9,,2026-01-04,0,0,2.5,new
harness,治理 / 利用 / 束以马具,Scientists are trying to harness the power of the sun more efficiently.,a67c6ed2-687e-4f0f-acec-024dc04c2799,,2026-01-04,0,0,2.5,new
resign,辞职 / 放弃 / 顺从,She resigned herself to the fact that she wouldn't win the race.,79aa4da9-de2b-4e5c-a08b-4f1576c9c2a4,,2026-01-04,0,0,2.5,new
railings,栏杆 / 围栏,Children were leaning over the iron railings to watch the parade.,1382e024-8a43-41dc-a2d0-0cefabe367ce,,2026-01-04,0,0,2.5,new
toss,抛 / 掷 / 颠簸,The small boat was tossed about by the giant waves.,55e05077-f054-4356-9b55-873bdf939f07,,2026-01-04,0,0,2.5,new
parlour,客厅 / 店堂,In the Victorian era,08d575a6-1686-416f-9668-b3b0472f8507,,2026-01-04,0,0,2.5,new
sash,肩带 / 腰带 / 窗框,The girl wore a bright red sash over her white dress.,3b0fd2aa-8047-439f-9372-97d21da51e7a,,2026-01-04,0,0,2.5,new
diverge,分歧 / 偏离 / 分叉,The two paths diverge at the edge of the forest.,43649cb3-a617-4264-afb5-acd92160b73f,,2026-01-04,0,0,2.5,new
summons,召唤 / 传唤 / 传票,He received a formal summons to appear in court as a witness.,54ed27a2-8d2d-4560-8d9f-3d157eaf7a75,,2026-01-04,0,0,2.5,new
flaring,闪耀的 / 燃烧的,The flaring torches lit up the dark entrance of the cave.,499b2235-740b-4ea2-9333-76735969109e,,2026-01-04,0,0,2.5,new
jostle,推挤 / 挤撞,Shoppers had to jostle each other to reach the sales counter.,524d1113-d5ee-43ed-b6c3-371882973403,,2026-01-04,0,0,2.5,new
shrill,尖锐刺耳的,A shrill whistle pierced the silence of the night.,4aba4941-cd14-4bf6-b11d-98be2f467daf,,2026-01-04,0,0,2.5,new
nasal,鼻音的 / 鼻的,He spoke with a distinct nasal twang due to his cold.,8fd60d13-bfe8-4204-ac88-b063338d5fe9,,2026-01-04,0,0,2.5,new
ballad,民谣 / 叙事歌,The minstrel sang a haunting ballad about a lost love.,305b22a1-a25e-4307-a1a0-e43cfdd6b643,,2026-01-04,0,0,2.5,new
sensation,感觉 / 轰动,The news of the discovery caused a great sensation worldwide.,5f8e4c24-9c8e-4cee-947b-628615f3392f,,2026-01-04,0,0,2.5,new
chalice,圣餐杯 / 高脚杯,The priest carefully raised the golden chalice during the ceremony.,4f4f538c-c426-4a25-9e97-0969bb4a9837,,2026-01-04,0,0,2.5,new
throng,人群 / 挤满,A huge throng of fans gathered outside the stadium.,e602ac19-f662-4b78-8dc5-b2dc8e6e9145,,2026-01-04,0,0,2.5,new
bosom,胸膛 / 怀抱,She held the child close to her bosom to keep him warm.,81189722-4a51-4523-8c29-7bfc4905be98,,2026-01-04,0,0,2.5,new
pane,窗格玻璃,He looked out through a cracked pane of glass.,de4dd3b4-c5ba-4b90-8fcc-509351e833a8,,2026-01-04,0,0,2.5,new
impinge,侵犯 / 撞击 / 影响,The noise from the street began to impinge on her concentration.,6f115940-18f8-4425-b0d0-d26fa4c08a5e,,2026-01-04,0,0,2.5,new
incessant,不停的 / 连续不断的,The incessant rain lasted for three days without stopping.,024b6c72-45d6-4ee3-aa52-c8c2f87fd805,,2026-01-04,0,0,2.5,new
sodden,湿透的 / 浸透的,His shoes were sodden after walking through the marshes.,c7a1a378-d958-4a8c-9c07-d21ce892a6eb,,2026-01-04,0,0,2.5,new
bazaar,市集 / 义卖,We bought some beautiful handmade rugs at the local bazaar.,5206d300-96e0-4937-8754-db854f7e98d5,,2026-01-04,0,0,2.5,new
retreat,隐居处 / 撤退,The mountains provided a quiet retreat from the busy city life.,b2147f35-6fa5-450d-862c-154787a71a72,,2026-01-04,0,0,2.5,new
innumerable,无数的 / 数不清的,There are innumerable stars visible on a clear night.,14be9da4-acf3-43a9-b902-ca3f5cf4c8b6,,2026-01-04,0,0,2.5,new
lay waste to,毁坏 / 蹂躏,The invading army laid waste to the entire countryside.,289660c4-1cd7-4288-9e20-93f1ff9c147a,,2026-01-04,0,0,2.5,new
annihilate,歼灭 / 彻底消灭,The city was almost completely annihilated during the earthquake.,19955290-eff2-4935-b773-0143a4983566,,2026-01-04,0,0,2.5,new
intervene,干预 / 调停,The government had to intervene to prevent a strike.,5a76b535-7707-4b6a-8f68-ce9ecb4c830b,,2026-01-04,0,0,2.5,new
chafe,摩擦 / 擦痛 / 烦躁,The tight collar began to chafe his neck.,6a9670f3-b883-4c6f-88cc-495e5b0deae7,,2026-01-04,0,0,2.5,new
come between,妨碍 / 离间,I won't let a small argument come between our friendship.,9072036d-09c6-4f06-ae55-1811c9c0c088,,2026-01-04,0,0,2.5,new
luxuriate,享受 / 纵情,He spent the afternoon luxuriating in a warm bath.,d9b90cde-b72c-4868-a3a6-750f5a0e4925,,2026-01-04,0,0,2.5,new
enchant,使着迷 / 施魔法,The beauty of the landscape enchanted every visitor.,f62bb7a0-46b5-4807-b5a9-f26d5fc9d030,,2026-01-04,0,0,2.5,new
amiable,亲切的 / 和蔼可亲的,The host was an amiable man who made everyone feel welcome.,ebb347f1-7ae0-4229-9f17-69e59f6aeeff,,2026-01-04,0,0,2.5,new
stern,严厉的 / 坚定的,The teacher gave the students a stern warning about cheating.,7d45c23f-0257-43db-887c-acdf7376890a,,2026-01-04,0,0,2.5,new
call together,召集,The manager called together the staff for an emergency meeting.,e3a1feec-a3d6-4185-a881-224ae40f2e4b,,2026-01-04,0,0,2.5,new
stand between,处于……之间 / 阻碍,Nothing should stand between a person and their dreams.,cf43a47d-7b9e-42a2-a629-4ad1f0f25226,,2026-01-04,0,0,2.5,new
monotonous,单调的 / 乏味的,The work was monotonous,b3adcba1-a295-43b4-9962-e07a1974e390,,2026-01-04,0,0,2.5,new
fuss,忙乱 / 大惊小怪,There was a lot of fuss over the wedding arrangements.,9a22652d-29e1-45bc-87f6-7ae27b6dc5f9,,2026-01-04,0,0,2.5,new
curt,简短的 / 粗鲁的,He gave a curt reply and walked away without looking back.,ebcd6279-c8b2-448f-b598-6f1daabd605e,,2026-01-04,0,0,2.5,new
misgive,使疑虑 / 使害怕,He felt a sense of misgiving about the safety of the bridge.,49bfcbb1-7deb-4f77-bf7a-7cea71cb1e6d,,2026-01-04,0,0,2.5,new
mount,登上 / 增加 / 装置,Pressure began to mount as the deadline approached.,9b60079b-e12a-44f2-aa11-53f4b2dd7b7c,,2026-01-04,0,0,2.5,new
indistinct,不清楚的 / 模糊的,The figures in the distance were indistinct in the thick fog.,185c6575-e742-4ccc-846f-a17004342229,,2026-01-04,0,0,2.5,new
clad,穿着的 / 覆盖的,The mountains were clad in a thick blanket of snow.,012c4437-f2da-4aa1-8c07-393d923e996d,,2026-01-04,0,0,2.5,new
discreet,谨慎的 / 考虑周全的,He made a discreet inquiry about the job opening.,9dbc05f0-0b7b-46ce-ac3e-40c3e716f540,,2026-01-04,0,0,2.5,new
garrulous,话多的 / 喋喋不休的,The garrulous old man could talk for hours about his youth.,9c3b1642-aae8-41b8-b745-34be9376cefe,,2026-01-04,0,0,2.5,new
clench,握紧 / 咬紧,He clenched his fists in anger but said nothing.,343c4cac-2218-4d76-aa96-4ccaf15be89e,,2026-01-04,0,0,2.5,new
hallstand,门厅衣帽架,He hung his umbrella and coat on the hallstand.,02db0dbe-b9a2-43f1-9005-30af61a59b90,,2026-01-04,0,0,2.5,new
stride,大步走 / 跨越,He walked with a confident stride toward the stage.,1a70d270-3bcf-4f25-9d00-3143b31e4098,,2026-01-04,0,0,2.5,new
glare,怒目而视 / 刺眼的光,The sun's glare on the water was blinding.,c5ca998d-c184-4aac-8d33-c31b346234f0,,2026-01-04,0,0,2.5,new
ruinous,破坏性的 / 荒废的,The high interest rates had a ruinous effect on the business.,ae0db536-1ab3-4145-849b-2635ba79e52a,,2026-01-04,0,0,2.5,new
improvise,即兴创作 / 临时凑成,If you don't have the right tools,fba5d0d1-44ab-4b69-ac28-0ee639ae508d,,2026-01-04,0,0,2.5,new
weary,疲倦的 / 厌烦的,She was weary after the long journey and wanted to sleep.,5d1121f8-28bc-4585-8edc-6f8b2035d0e1,,2026-01-04,0,0,2.5,new
gird,环绕 / 束缚 / 准备,The knights began to gird themselves for the upcoming battle.,465b1ccd-97f7-4fa7-9a9f-870e67d9dd8a,,2026-01-04,0,0,2.5,new
pervade,弥漫 / 普及,A sense of deep sadness pervaded the whole house.,bdb1ad68-93bd-4779-9e1d-d2ca6fc6e095,,2026-01-04,0,0,2.5,new
salver,银盘 / 托盘,The butler served the drinks on a polished silver salver.,3feb8744-2be1-476c-a6f9-5b8caf44a420,,2026-01-04,0,0,2.5,new
deride,嘲笑 / 嘲弄,His critics derided his attempt to write a novel.,641da3c7-496a-4dcb-982f-adff424617b0,,2026-01-04,0,0,2.5,new
vain,徒劳的 / 自负的,They made a vain attempt to stop the flooding.,f0ebd5d9-2e4a-449c-8cba-c37a3d20b022,,2026-01-04,0,0,2.5,new
anguish,痛苦 / 苦恼,The mother was in deep anguish over her missing child.,48944ea1-29b1-48b4-be9f-27c496a9fdfe,,2026-01-04,0,0,2.5,new
invert,使倒置 / 使反转,The glass was inverted on the table to keep it clean.,3ef1988d-92ae-48f9-bfca-4e16484f4b12,,2026-01-04,0,0,2.5,new
paralyse,使瘫痪 / 使麻痹,The fear of failure seemed to paralyse his creativity.,746292e4-eec0-4014-9311-b45a81e6e704,,2026-01-04,0,0,2.5,new
confine to,限制在……内,The discussion was confined to the immediate problems.,3225a450-c28b-40de-bfb4-7823c0268001,,2026-01-04,0,0,2.5,new
give on to,面向 / 通向,The French windows give on to a beautiful stone terrace.,7385a701-bc5a-45c7-92bf-c6f376d4036d,,2026-01-04,0,0,2.5,new
attend to,照料 / 专心于,The doctor had to attend to several patients at once.,e3798e51-94b9-4f5a-8555-4adc8bb4daca,,2026-01-04,0,0,2.5,new
eke out,勉强维持 / 补充,They had to eke out their small savings until the end of the month.,e8100cb9-fbc6-42d5-bc64-eca0a610a03c,,2026-01-04,0,0,2.5,new
minute,微小的 / 详细的,The robot was capable of making minute adjustments to the lens.,4cf090cf-dba9-44a4-979e-360afe3b70ae,,2026-01-04,0,0,2.5,new
overhang,悬垂 / 悬于……之上,Large rocks overhang the narrow mountain road.,d41c7247-f886-4105-aa81-f9450abd5843,,2026-01-04,0,0,2.5,new
infirmity,虚弱 / 疾病,In his old age,3e343f2d-9bcc-448c-bd52-57b30f525700,,2026-01-04,0,0,2.5,new
crucifix,十字架 / 苦像,A large wooden crucifix hung on the wall of the chapel.,8906926e-c7d0-4c00-ac4c-a6825ce8b7aa,,2026-01-04,0,0,2.5,new
assiduous,勤奋的 / 刻苦的,She was assiduous in her duties and never missed a day of work.,3ca3453e-7e55-4e87-b314-7e8e30a0251d,,2026-01-04,0,0,2.5,new
industrious,勤劳的 / 努力的,The industrious students spent all weekend in the library.,2b3ff4a2-14bb-4cad-a560-c6ab658415fc,,2026-01-04,0,0,2.5,new
invalid,病人 / 残疾人,He spent the last years of his life as a bedridden invalid.,367d8c0a-d4e6-41dd-bdf9-ee4d350a5408,,2026-01-04,0,0,2.5,new
fondle,爱抚 / 抚弄,She began to fondle the kitten behind its ears.,79c2b5d8-b8d6-4ac5-a3f6-450ac68c1ab3,,2026-01-04,0,0,2.5,new
